category,price,color,brand,brand_group,base_color,has_out_of_stock,nb_sizes_total,nb_sizes_available,nb_sizes_out_of_stock,fully_out_of_stock,price_segment
outerwear,49.99,neutral,New Look,New Look,other,True,8,7,1,False,£20-50
outerwear,49.99,neutral,New Look,New Look,other,True,8,7,1,False,£20-50
outerwear,49.99,neutral,New Look,New Look,other,True,8,7,1,False,£20-50
outerwear,49.99,neutral,New Look,New Look,other,True,8,7,1,False,£20-50
outerwear,59.99,grey,Stradivarius,Stradivarius,grey,False,5,5,0,False,£50-100
outerwear,59.99,grey,Stradivarius,Stradivarius,grey,False,5,5,0,False,£50-100
outerwear,59.99,grey,Stradivarius,Stradivarius,grey,False,5,5,0,False,£50-100
outerwear,59.99,grey,Stradivarius,Stradivarius,grey,False,5,5,0,False,£50-100
outerwear,45.0,stone,JDY,JDY,other,True,7,5,2,False,£20-50
outerwear,45.0,stone,JDY,JDY,other,True,7,5,2,False,£20-50
outerwear,84.95,pink,Nike,Nike,pink,False,5,5,0,False,£50-100
outerwear,84.95,pink,Nike,Nike,pink,False,5,5,0,False,£50-100
outerwear,84.95,pink,Nike,Nike,pink,False,5,5,0,False,£50-100
outerwear,75.0,natural,ASOS DESIGN,ASOS DESIGN,other,False,9,9,0,False,£50-100
outerwear,75.0,natural,ASOS DESIGN,ASOS DESIGN,other,False,9,9,0,False,£50-100
outerwear,75.0,natural,ASOS DESIGN,ASOS DESIGN,other,False,9,9,0,False,£50-100
outerwear,75.0,natural,ASOS DESIGN,ASOS DESIGN,other,False,9,9,0,False,£50-100
outerwear,56.0,ecru,ASOS DESIGN,ASOS DESIGN,beige,True,8,6,2,False,£50-100
outerwear,56.0,ecru,ASOS DESIGN,ASOS DESIGN,beige,True,8,6,2,False,£50-100
outerwear,56.0,ecru,ASOS DESIGN,ASOS DESIGN,beige,True,8,6,2,False,£50-100
outerwear,40.0,neutral,ASOS Weekend Collective,ASOS Weekend Collective,other,False,8,8,0,False,£20-50
outerwear,40.0,neutral,ASOS Weekend Collective,ASOS Weekend Collective,other,False,8,8,0,False,£20-50
outerwear,40.0,neutral,ASOS Weekend Collective,ASOS Weekend Collective,other,False,8,8,0,False,£20-50
outerwear,40.0,neutral,ASOS Weekend Collective,ASOS Weekend Collective,other,False,8,8,0,False,£20-50
outerwear,38.0,black,ASOS DESIGN,ASOS DESIGN,black,False,9,9,0,False,£20-50
outerwear,38.0,black,ASOS DESIGN,ASOS DESIGN,black,False,9,9,0,False,£20-50
outerwear,38.0,black,ASOS DESIGN,ASOS DESIGN,black,False,9,9,0,False,£20-50
outerwear,38.0,black,ASOS DESIGN,ASOS DESIGN,black,False,9,9,0,False,£20-50
outerwear,40.0,purple,Native Youth,Native Youth,purple,False,6,6,0,False,£20-50
outerwear,40.0,purple,Native Youth,Native Youth,purple,False,6,6,0,False,£20-50
outerwear,40.0,purple,Native Youth,Native Youth,purple,False,6,6,0,False,£20-50
outerwear,40.0,purple,Native Youth,Native Youth,purple,False,6,6,0,False,£20-50
outerwear,150.0,black,Carhartt WIP,Carhartt WIP,black,False,4,4,0,False,>£100
outerwear,150.0,black,Carhartt WIP,Carhartt WIP,black,False,4,4,0,False,>£100
outerwear,150.0,black,Carhartt WIP,Carhartt WIP,black,False,4,4,0,False,>£100
outerwear,150.0,black,Carhartt WIP,Carhartt WIP,black,False,4,4,0,False,>£100
outerwear,,black,adidas,adidas,black,False,8,8,0,False,>£100
outerwear,,black,adidas,adidas,black,False,8,8,0,False,>£100
outerwear,,black,adidas,adidas,black,False,8,8,0,False,>£100
outerwear,,black,adidas,adidas,black,False,8,8,0,False,>£100
outerwear,,black,Columbia,Columbia,black,False,5,5,0,False,>£100
outerwear,,black,Columbia,Columbia,black,False,5,5,0,False,>£100
outerwear,,black,Columbia,Columbia,black,False,5,5,0,False,>£100
outerwear,,black,Columbia,Columbia,black,False,5,5,0,False,>£100
outerwear,,khaki,ASOS DESIGN,ASOS DESIGN,green,True,8,7,1,False,>£100
outerwear,,khaki,ASOS DESIGN,ASOS DESIGN,green,True,8,7,1,False,>£100
outerwear,,khaki,ASOS DESIGN,ASOS DESIGN,green,True,8,7,1,False,>£100
outerwear,,khaki,ASOS DESIGN,ASOS DESIGN,green,True,8,7,1,False,>£100
bottom,30.0,blue,ASOS DESIGN,ASOS DESIGN,blue,False,8,8,0,False,£20-50
bottom,30.0,blue,ASOS DESIGN,ASOS DESIGN,blue,False,8,8,0,False,£20-50
bottom,30.0,blue,ASOS DESIGN,ASOS DESIGN,blue,False,8,8,0,False,£20-50
bottom,30.0,blue,ASOS DESIGN,ASOS DESIGN,blue,False,8,8,0,False,£20-50
outerwear,,camel,New Look,New Look,other,False,8,8,0,False,>£100
outerwear,,camel,New Look,New Look,other,False,8,8,0,False,>£100
outerwear,,camel,New Look,New Look,other,False,8,8,0,False,>£100
outerwear,,camel,New Look,New Look,other,False,8,8,0,False,>£100
outerwear,79.99,black,Bershka,Bershka,black,True,5,2,3,False,£50-100
outerwear,79.99,black,Bershka,Bershka,black,True,5,2,3,False,£50-100
outerwear,79.99,black,Bershka,Bershka,black,True,5,2,3,False,£50-100
outerwear,79.99,black,Bershka,Bershka,black,True,5,2,3,False,£50-100
outerwear,38.0,black,Vero Moda,Vero Moda,black,False,7,7,0,False,£20-50
outerwear,38.0,black,Vero Moda,Vero Moda,black,False,7,7,0,False,£20-50
outerwear,38.0,black,Vero Moda,Vero Moda,black,False,7,7,0,False,£20-50
outerwear,38.0,black,Vero Moda,Vero Moda,black,False,7,7,0,False,£20-50
outerwear,35.99,beige,Stradivarius,Stradivarius,beige,False,5,5,0,False,£20-50
outerwear,35.99,beige,Stradivarius,Stradivarius,beige,False,5,5,0,False,£20-50
outerwear,35.99,beige,Stradivarius,Stradivarius,beige,False,5,5,0,False,£20-50
outerwear,35.99,beige,Stradivarius,Stradivarius,beige,False,5,5,0,False,£20-50
outerwear,69.99,black,Stradivarius,Stradivarius,black,False,5,5,0,False,£50-100
outerwear,69.99,black,Stradivarius,Stradivarius,black,False,5,5,0,False,£50-100
outerwear,69.99,black,Stradivarius,Stradivarius,black,False,5,5,0,False,£50-100
outerwear,69.99,black,Stradivarius,Stradivarius,black,False,5,5,0,False,£50-100
outerwear,,black,Barney's Originals Emma,Barney's,black,True,7,5,2,False,>£100
outerwear,,black,Barney's Originals Emma,Barney's,black,True,7,5,2,False,>£100
outerwear,,black,Barney's Originals Emma,Barney's,black,True,7,5,2,False,>£100
outerwear,,black,Barney's Originals Emma,Barney's,black,True,7,5,2,False,>£100
outerwear,,stone & green,ASOS DESIGN,ASOS DESIGN,green,True,8,5,3,False,>£100
outerwear,,stone & green,ASOS DESIGN,ASOS DESIGN,green,True,8,5,3,False,>£100
outerwear,,stone & green,ASOS DESIGN,ASOS DESIGN,green,True,8,5,3,False,>£100
outerwear,,stone & green,ASOS DESIGN,ASOS DESIGN,green,True,8,5,3,False,>£100
outerwear,49.99,black,Miss Selfridge,Miss Selfridge,black,True,8,7,1,False,£20-50
outerwear,49.99,black,Miss Selfridge,Miss Selfridge,black,True,8,7,1,False,£20-50
outerwear,49.99,black,Miss Selfridge,Miss Selfridge,black,True,8,7,1,False,£20-50
outerwear,49.99,black,Miss Selfridge,Miss Selfridge,black,True,8,7,1,False,£20-50
outerwear,59.99,grey,Bershka,Bershka,grey,False,4,4,0,False,£50-100
outerwear,59.99,grey,Bershka,Bershka,grey,False,4,4,0,False,£50-100
outerwear,59.99,grey,Bershka,Bershka,grey,False,4,4,0,False,£50-100
outerwear,59.99,grey,Bershka,Bershka,grey,False,4,4,0,False,£50-100
outerwear,39.99,black,Bershka,Bershka,black,False,4,4,0,False,£20-50
outerwear,39.99,black,Bershka,Bershka,black,False,4,4,0,False,£20-50
outerwear,39.99,black,Bershka,Bershka,black,False,4,4,0,False,£20-50
outerwear,39.99,black,Bershka,Bershka,black,False,4,4,0,False,£20-50
outerwear,56.0,dirty dark wash,Topshop,Topshop,grey,True,8,6,2,False,£50-100
outerwear,56.0,dirty dark wash,Topshop,Topshop,grey,True,8,6,2,False,£50-100
outerwear,56.0,dirty dark wash,Topshop,Topshop,grey,True,8,6,2,False,£50-100
outerwear,56.0,dirty dark wash,Topshop,Topshop,grey,True,8,6,2,False,£50-100
outerwear,119.0,navy,Barbour,Barbour,blue,False,6,6,0,False,>£100
outerwear,119.0,navy,Barbour,Barbour,blue,False,6,6,0,False,>£100
outerwear,119.0,navy,Barbour,Barbour,blue,False,6,6,0,False,>£100
outerwear,,stone,Forever New,Forever,other,False,6,6,0,False,>£100
outerwear,,stone,Forever New,Forever,other,False,6,6,0,False,>£100
outerwear,,stone,Forever New,Forever,other,False,6,6,0,False,>£100
outerwear,,stone,Forever New,Forever,other,False,6,6,0,False,>£100
outerwear,,camel,ASOS DESIGN,ASOS DESIGN,other,True,8,7,1,False,>£100
outerwear,,camel,ASOS DESIGN,ASOS DESIGN,other,True,8,7,1,False,>£100
outerwear,,camel,ASOS DESIGN,ASOS DESIGN,other,True,8,7,1,False,>£100
